run,signal,frequency_ghz,power
Bx,mx,858.1029376743478,9.138973121807997e-18
Bx,mx,860.1460399069058,2.4396941507665917e-18
Bx,mx,862.1891421394638,1.1613994033205225e-17
Bx,mx,864.2322443720218,7.295844768173876e-18
Bx,mx,866.2753466045798,6.344063451824975e-18
Bx,mx,868.3184488371378,5.90220127063332e-18
Bx,mx,870.3615510696957,5.082956278174541e-18
Bx,mx,872.4046533022537,1.8130162889250414e-18
Bx,mx,874.4477555348117,1.0196934333783147e-18
Bx,mx,876.4908577673696,3.265846575280264e-18
Bx,mx,878.5339599999276,5.815967717383805e-18
Bx,mx,880.5770622324856,4.0045381052129276e-19
Bx,mx,882.6201644650436,5.295127198073088e-18
Bx,mx,884.6632666976014,2.4485168340335285e-18
Bx,mx,886.7063689301594,7.832954788046406e-18
Bx,mx,888.7494711627174,3.949578759728265e-18
Bx,mx,890.7925733952754,8.697141114583969e-18
Bx,mx,892.8356756278334,6.186539709784134e-18
Bx,mx,894.8787778603914,1.8288001871352775e-18
Bx,mx,896.9218800929493,2.6640504346313256e-18
Bx,mx,898.9649823255072,1.1539517991990761e-17
Bx,mx,901.0080845580652,8.066681515224218e-18
Bx,mx,903.0511867906232,1.5574537533631931e-18
Bx,mx,905.0942890231812,1.7397088502298656e-18
Bx,mx,907.1373912557392,4.770200563764803e-18
Bx,mx,909.1804934882972,4.9830186943945785e-18
Bx,mx,911.2235957208552,2.6999113931140323e-19
Bx,mx,913.2666979534131,7.539932605522505e-19
Bx,mx,915.309800185971,2.7562260311224817e-18
Bx,mx,917.352902418529,2.589871773457584e-18
Bx,mx,919.396004651087,8.480633717580818e-19
Bx,mx,921.439106883645,1.1721822240084426e-18
Bx,mx,923.482209116203,8.262239245699345e-19
Bx,mx,925.525311348761,3.5523078260870404e-19
Bx,mx,927.5684135813189,1.8859041817540607e-18
Bx,mx,929.6115158138768,6.494429906204951e-18
Bx,mx,931.6546180464348,3.0731905342399695e-18
Bx,mx,933.6977202789928,6.146830444554794e-19
Bx,mx,935.7408225115507,2.0707381403511e-18
Bx,mx,937.7839247441087,6.753831490905175e-18
Bx,mx,939.8270269766667,8.214247652890486e-18
Bx,mx,941.8701292092246,2.8989185928452487e-18
Bx,mx,943.9132314417826,4.2436435795833223e-19
Bx,mx,945.9563336743406,8.404541690370293e-19
Bx,mx,947.9994359068986,8.688655746928048e-18
Bx,mx,950.0425381394566,2.2664221064230667e-18
Bx,mx,952.0856403720146,1.8290722522880146e-17
Bx,mx,954.1287426045726,1.7643647445278696e-17
Bx,mx,956.1718448371304,2.7022770040889025e-18
Bx,mx,958.2149470696884,5.3211399905019346e-20
Bx,mx,960.2580493022464,1.3422787640651172e-17
Bx,mx,962.3011515348044,1.5102040042416232e-17
Bx,mx,964.3442537673624,1.4966838345679387e-18
Bx,mx,966.3873559999204,4.64047641784162e-19
Bx,mx,968.4304582324784,6.366871104672928e-19
Bx,mx,970.4735604650364,8.554072496876972e-19
Bx,mx,972.5166626975943,3.987280531266306e-19
Bx,mx,974.5597649301523,1.4816257936825954e-18
Bx,mx,976.6028671627101,2.842279683088952e-19
Bx,mx,978.6459693952681,4.827209085406093e-19
Bx,mx,980.6890716278261,4.38502880605347e-18
Bx,mx,982.7321738603841,5.7406662982086725e-18
Bx,mx,984.775276092942,4.0596445963205143e-19
Bx,mx,986.8183783255,2.3092539943855343e-18
Bx,mx,988.861480558058,2.626309028408624e-18
Bx,mx,990.904582790616,1.3440643503510008e-17
Bx,mx,992.947685023174,9.964728034328069e-18
Bx,mx,994.990787255732,8.500902578388962e-18
Bx,mx,997.0338894882899,1.8430767217198184e-18
Bx,mx,999.0769917208478,6.857017104194075e-20
Bx,mx,1001.1200939534058,1.8686536273345018e-18
Bx,mx,1003.1631961859638,3.4774251831816926e-18
Bx,mx,1005.2062984185218,6.165044287935768e-19
Bx,mx,1007.2494006510798,3.344229956540679e-17
Bx,mx,1009.2925028836378,2.1010849958910148e-17
Bx,mx,1011.3356051161958,9.261148373894277e-18
Bx,mx,1013.3787073487538,7.775779543066339e-20
Bx,mx,1015.4218095813117,3.103782458222991e-18
Bx,mx,1017.4649118138695,1.3056970817065681e-17
Bx,mx,1019.5080140464275,3.3785754415132254e-17
Bx,mx,1021.5511162789855,1.6983080745594677e-17
Bx,mx,1023.5942185115435,4.1403265026909583e-19
